Time	 Wall Temp	 Sample Temp
2026-04-30 12:47:28.020677	 294.5665	 294.5043
2026-04-30 12:47:29.086718	 294.3754	 294.3283
2026-04-30 12:47:30.109894	 294.2491	 294.1524
2026-04-30 12:47:31.134653	 294.2799	 294.4053
2026-04-30 12:47:32.171410	 294.1918	 294.1744
2026-04-30 12:47:33.193925	 294.4562	 294.1744
2026-04-30 12:47:34.215251	 294.2667	 294.214
2026-04-30 12:47:35.239892	 294.4195	 294.1634
2026-04-30 12:47:36.277069	 294.4077	 294.4492
2026-04-30 12:47:37.300736	 294.2358	 294.1634
2026-04-30 12:47:38.322223	 294.4452	 294.5592
2026-04-30 12:47:39.345814	 294.5334	 294.4933
2026-04-30 12:47:40.390866	 294.54	 294.1084
2026-04-30 12:47:41.424077	 294.3901	 294.6801
2026-04-30 12:47:42.461212	 294.4959	 294.3283
2026-04-30 12:47:43.485427	 294.5444	 294.5702
2026-04-30 12:47:44.522945	 294.5995	 294.4493
2026-04-30 12:47:45.547055	 294.5003	 294.5482
2026-04-30 12:47:46.585574	 294.5047	 294.3811
2026-04-30 12:47:47.624660	 294.6693	 294.6142
2026-04-30 12:47:48.662318	 294.4695	 294.6362
2026-04-30 12:47:49.700359	 294.5775	 294.4163
2026-04-30 12:47:50.723062	 294.6105	 294.2294
2026-04-30 12:47:51.745295	 294.6436	 294.5702
2026-04-30 12:47:52.769289	 294.6458	 294.6714
2026-04-30 12:47:53.806816	 294.6546	 294.7791
2026-04-30 12:47:54.830080	 294.6105	 294.6032
2026-04-30 12:47:55.868101	 294.7097	 294.4822
2026-04-30 12:47:56.922969	 294.7427	 294.8341
2026-04-30 12:47:57.946581	 294.7075	 294.5394
2026-04-30 12:47:58.986525	 294.6546	 294.8451
2026-04-30 12:48:00.023762	 294.637	 294.5812
2026-04-30 12:48:01.061524	 294.9411	 294.8231
2026-04-30 12:48:02.084177	 294.7427	 294.8121
2026-04-30 12:48:03.109594	 294.8088	 294.6581
2026-04-30 12:48:04.144665	 294.8926	 294.8033
2026-04-30 12:48:05.170997	 294.8603	 294.8341
2026-04-30 12:48:06.206252	 294.778	 294.8781
2026-04-30 12:48:07.229692	 294.9301	 294.9001
2026-04-30 12:48:08.268397	 294.908	 294.8781
2026-04-30 12:48:09.307908	 294.6877	 294.8891
2026-04-30 12:48:10.345523	 294.8926	 294.5922
2026-04-30 12:48:11.388064	 294.7427	 294.7901
2026-04-30 12:48:12.423272	 294.8397	 295.01
2026-04-30 12:48:13.460102	 294.7979	 294.933
2026-04-30 12:48:14.484385	 295.2276	 294.8891
2026-04-30 12:48:15.521295	 294.9962	 294.933
2026-04-30 12:48:16.561718	 295.0248	 294.8737
2026-04-30 12:48:17.599554	 295.1248	 294.8121
2026-04-30 12:48:18.623166	 294.9191	 294.6362
2026-04-30 12:48:19.662145	 294.9962	 294.7351
2026-04-30 12:48:20.700137	 294.9742	 294.7571
2026-04-30 12:48:21.739068	 294.9742	 294.9661
2026-04-30 12:48:22.777084	 295.1688	 294.9792
