Time	 Wall Temp	 Sample Temp
2026-05-04 13:10:39.903761	 294.4232	 295.1991
2026-05-04 13:10:40.932361	 293.8171	 294.5042
2026-05-04 13:10:41.971139	 293.7819	 294.5219
2026-05-04 13:10:43.026690	 293.7069	 294.7021
2026-05-04 13:10:44.065195	 293.773	 294.6252
2026-05-04 13:10:45.102876	 293.6298	 294.4053
2026-05-04 13:10:46.125416	 293.7906	 294.6274
2026-05-04 13:10:47.149103	 293.7436	 294.7351
2026-05-04 13:10:48.186349	 293.8435	 294.6582
2026-05-04 13:10:49.208843	 293.8942	 294.3393
2026-05-04 13:10:50.232620	 293.7069	 294.4603
2026-05-04 13:10:51.255040	 293.762	 294.7791
2026-05-04 13:10:52.307136	 293.9141	 294.3283
2026-05-04 13:10:53.332271	 293.7437	 294.5262
2026-05-04 13:10:54.354411	 293.9493	 294.6362
2026-05-04 13:10:55.377107	 293.8502	 294.7021
2026-05-04 13:10:56.401111	 293.9824	 294.6912
2026-05-04 13:10:57.440185	 293.9824	 294.7242
2026-05-04 13:10:58.478575	 294.1168	 294.6802
2026-05-04 13:10:59.515934	 293.9346	 294.8011
2026-05-04 13:11:00.538562	 294.108	 294.6032
2026-05-04 13:11:01.561577	 294.0706	 294.8781
2026-05-04 13:11:02.584376	 294.291	 294.7791
2026-05-04 13:11:03.621908	 294.291	 294.933
2026-05-04 13:11:04.644984	 294.1785	 294.7065
2026-05-04 13:11:05.668527	 294.2726	 294.933
2026-05-04 13:11:06.706765	 294.2138	 294.944
2026-05-04 13:11:07.745455	 294.2579	 294.8011
2026-05-04 13:11:08.783216	 294.2689	 294.9221
2026-05-04 13:11:09.806210	 294.3571	 294.7901
2026-05-04 13:11:10.829420	 294.4048	 294.9792
2026-05-04 13:11:11.869460	 294.5223	 294.8891
2026-05-04 13:11:12.923620	 294.4673	 295.1639
2026-05-04 13:11:13.961716	 294.4011	 294.8781
2026-05-04 13:11:14.984225	 294.4562	 295.065
2026-05-04 13:11:16.007684	 294.6546	 295.1199
2026-05-04 13:11:17.063466	 294.6546	 295.2189
2026-05-04 13:11:18.100649	 294.5488	 294.9771
2026-05-04 13:11:19.140402	 294.6436	 295.098
2026-05-04 13:11:20.180054	 294.6877	 295.109
2026-05-04 13:11:21.216552	 294.6105	 295.01
2026-05-04 13:11:22.254451	 294.8044	 295.0496
2026-05-04 13:11:23.278054	 294.6252	 295.2849
2026-05-04 13:11:24.316848	 294.5488	 295.3838
2026-05-04 13:11:25.355342	 294.7648	 295.3729
2026-05-04 13:11:26.393937	 294.7648	 295.3619
2026-05-04 13:11:27.432403	 294.6987	 295.2299
2026-05-04 13:11:28.470104	 294.9631	 295.3575
2026-05-04 13:11:29.494219	 294.875	 295.7687
2026-05-04 13:11:30.534171	 295.0336	 295.4498
2026-05-04 13:11:31.570824	 294.9962	 295.3509
2026-05-04 13:11:32.593736	 294.886	 295.2409
2026-05-04 13:11:33.632567	 294.875	 295.3179
2026-05-04 13:11:34.669954	 294.9543	 295.1991
2026-05-04 13:11:35.693692	 295.1688	 295.3618
2026-05-04 13:11:36.732805	 294.8926	 295.4498
2026-05-04 13:11:37.770680	 295.1394	 295.5817
2026-05-04 13:11:38.793327	 295.2607	 295.5268
2026-05-04 13:11:39.831606	 295.1218	 295.4938
2026-05-04 13:11:40.870188	 295.11	 295.4498
2026-05-04 13:11:41.958036	 295.1571	 295.4058
2026-05-04 13:11:43.011341	 295.2276	 295.5488
2026-05-04 13:11:44.049642	 295.2607	 295.7357
2026-05-04 13:11:45.072905	 295.1284	 295.7027
